1,5900,1
1,20276,1
1,25351,1
1,25776,6
1,26982,3
1,29350,1
1,37035,2
3,4010,2
3,27208,1
4,25540,1
4,30219,1
5,4842,7
5,8893,1
5,10936,1
5,21463,1
5,22570,1
5,37143,1
5,38703,4
6,1273,1
6,1384,2
6,1884,1
6,2453,1
6,3144,1
6,3718,5
6,3819,1
6,4775,1
6,5279,1
6,6643,1
6,6660,3
6,7998,13
6,8651,2
6,8767,1
6,9069,1
6,9512,1
6,9732,1
6,9821,3
6,10051,3
6,10316,3
6,10380,1
6,11477,1
6,11562,2
6,13093,2
6,13800,2
6,14236,1
6,15009,5
6,15719,1
6,15953,2
6,16258,2
6,16324,1
6,18440,2
6,18879,1
6,19316,1
6,19560,1
6,20174,2
6,20781,2
6,21270,1
6,22330,1
6,23742,1
6,23938,6
6,24371,1
6,25957,1
6,25981,8
6,27276,1
6,27342,1
6,27464,2
6,27490,1
6,28070,1
6,28099,1
6,28316,2
6,28443,4
6,28740,2
6,28984,1
6,29350,1
6,29672,1
6,29862,1
6,29973,1
6,30453,1
6,33551,1
6,34312,1
6,34448,1
6,34614,1
6,34641,1
6,35204,1
6,35284,2
6,36821,3
6,36958,2
6,37205,3
6,37221,1
6,37649,3
6,39458,1
6,40201,2
6,41460,3
7,7025,1
7,11506,1
7,14966,1
7,18589,4
7,21400,1
7,26145,2
7,26976,1
7,35567,2
7,40322,1
9,34700,2
9,34731,3
9,38410,2
10,149,3
10,235,1
10,2692,1
10,8678,1
10,16144,1
10,17074,1
10,18970,6
10,22482,1
11,13012,1
11,32801,1
12,2680,1
12,5007,3
12,9637,1
12,11664,1
12,19178,1
12,21130,3
12,34665,3
12,40372,2
13,6461,1
13,9809,1
13,11091,2
13,22581,4
13,25039,1
13,42561,1
14,17123,3
14,19418,1
14,41639,1
15,1945,1
15,4585,20
15,5064,4
15,12308,2
15,15219,1
15,23044,6
15,24371,1
15,24764,1
15,27487,1
15,28188,1
15,29709,1
15,32151,1
15,35782,1
15,35910,1
15,37316,1
15,37635,1
15,39357,5
16,405,2
16,2270,2
16,3162,1
16,3485,1
16,4118,1
16,7931,5
16,9778,3
16,12952,1
16,13322,1
16,13731,1
16,17387,5
16,19178,1
16,20781,1
16,23725,1
16,28025,1
16,30453,1
16,32798,1
16,33981,1
16,35279,1
16,40411,1
16,42217,1
17,3485,1
18,3162,1
18,8338,1
18,9725,1
18,10651,1
18,12254,1
18,13523,2
18,14203,1
18,30509,1
18,32306,2
18,32670,1
18,35099,1
22,4585,1
22,10576,1
22,21191,2
22,21205,2
22,31940,1
22,32595,1
23,17811,1
23,19112,12
23,19633,3
23,21209,1
23,25296,7
23,25840,1
23,27308,1
23,28659,4
23,28668,2
23,34923,1
23,38801,1
23,40104,1
25,12294,2
25,23927,1
25,23975,2
25,29904,3
25,33082,2
26,6096,1
26,8653,2
26,24313,1
26,30174,2
27,3547,1
27,4615,1
27,20413,4
27,21354,2
27,31370,1
27,33324,1
28,4355,1
28,10749,5
28,14542,3
28,14734,4
28,15182,1
28,24753,4
28,27557,1
28,28025,1
28,32338,1
28,32969,1
28,34389,1
28,36144,3
28,40705,1
29,1896,1
29,2436,1
29,5236,2
29,9329,1
29,9536,1
29,10048,1
29,10140,2
29,15145,1
29,15183,1
29,15723,1
29,16295,1
29,20042,4
29,21325,2
29,24899,3
29,28600,1
29,31575,4
29,31869,1
29,32169,1
29,32571,1
29,33608,1
29,38982,1
29,39520,2
30,11324,3
30,21301,4
30,22709,2
30,23837,1
30,25981,1
30,33160,1
30,35342,2
31,4603,1
31,5385,1
31,12876,1
31,13253,2
31,13315,1
31,27711,1
31,31997,1
31,34362,1
31,35507,2
31,36813,1
31,38795,1
31,40201,3
32,15145,1
32,31640,1
33,197,2
33,1613,2
33,4349,1
33,5247,1
33,5411,1
33,6075,1
33,6752,6
33,8169,1
33,10405,2
33,11047,1
33,12308,1
33,13449,1
33,15246,1
33,16126,1
33,16497,3
33,19524,3
33,21325,2
33,25224,1
33,25856,1
33,28125,1
33,29751,5
33,32372,1
33,32480,1
34,31874,2
34,34696,8
35,12939,1
36,4408,2
36,24287,7
36,25957,5
36,29582,1
36,39756,9
37,4408,1
37,20233,1
37,22349,1
37,24558,1
37,25624,1
37,32454,1
37,35101,1
37,39606,1
38,4144,1
38,18238,1
38,35204,3
39,8265,1
39,16517,2
40,12146,1
40,20823,1
40,26788,1
40,28847,1
40,42265,1
41,16875,1
42,309,2
42,9003,11
42,12287,3
42,17055,1
42,17268,2
42,21210,2
42,23249,2
42,25666,2
42,31370,3
42,32491,8
42,33545,1
42,37389,1
42,38987,2
42,41622,2
42,42389,1
43,1880,4
43,6078,1
43,9702,4
43,12720,1
43,13651,1
43,18654,1
43,18978,2
43,20778,9
43,28536,1
43,31659,1
43,31915,8
43,34675,9
43,38876,2
43,39837,8
44,539,1
47,18293,1
47,18928,1
47,28804,1
47,35141,3
48,12027,1
50,4355,1
50,34315,1
51,32731,2
52,38434,1
54,607,1
54,6075,1
54,6169,1
54,6563,5
54,9633,1
54,23511,1
54,27197,1
54,30270,1
54,31130,2
54,32320,1
54,33820,1
54,39846,1
56,26329,1
57,4669,1
57,28427,1
57,36724,1
57,38249,1
57,39975,1
58,898,1
58,1586,1
58,40277,1
60,13952,1
60,20483,1
60,24824,1
62,152,1
62,1303,1
62,32251,2
62,39892,1
63,1425,3
63,2577,1
63,2964,1
63,3962,5
63,4860,4
63,5200,1
63,5385,1
63,5513,3
63,7098,1
63,7846,1
63,8581,1
63,9111,1
63,10073,2
63,11562,1
63,12287,2
63,12971,1
63,16800,1
63,17142,4
63,17439,4
63,18526,1
63,18921,2
63,19112,1
63,20182,1
63,22086,1
63,22175,3
63,23117,1
63,25296,1
63,29729,4
63,32634,6
63,34312,3
63,34807,1
63,36299,1
63,39166,1
63,39710,1
63,42111,1
64,276,1
64,676,1
64,3144,1
64,6507,1
64,8298,1
64,12186,1
64,12785,1
64,15430,1
64,23837,1
64,36723,1
65,27557,1
65,28952,1
65,40430,1
66,6055,1
66,9328,1
66,9811,2
66,18630,1
66,21234,3
66,25803,3
66,25804,1
66,26092,1
66,35272,1
66,36439,2
66,41995,1
67,14209,1
67,14224,2
67,16202,1
67,20584,1
67,27133,1
67,34655,1
68,6816,6
68,26100,3
68,28659,1
69,14819,1
70,20972,1
74,19220,1
75,2129,7
75,2988,2
75,4063,1
75,4068,1
75,4307,1
75,6143,1
